artists_id,acousticness,danceability,disc_number,duration_ms,energy,href,id,instrumentalness,key,liveness,loudness,mode,name,playlist,popularity,preview_url,speechiness,tempo,time_signature,track_href,uri,valence,release_date,artists_name,genres,release_year
0qAmeOULjwn04k6jMMeDyr,0.26,0.77,1.0,265667.0,0.707,https://api.spotify.com/v1/tracks/6IItFqIHg6jHleKOYI7Aas,6IItFqIHg6jHleKOYI7Aas,0.000192,6.0,0.134,-9.356,0.0,I Feel Lucky,Songwriters,46.0,https://p.scdn.co/mp3-preview/c29d33004f84c37aa2ae99560c2487cc5a69c77e?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0402,120.069,4.0,https://api.spotify.com/v1/tracks/6IItFqIHg6jHleKOYI7Aas,6IItFqIHg6jHleKOYI7Aas,0.883,1990,Mary Chapin Carpenter,"['contemporary country', 'country', 'folk', 'folk rock', 'lilith', 'mellow gold', 'traditional folk']",1990.0
72JEwd3EjDEwTLypkFYJn9,0.000421,0.263,1.0,586400.0,0.828,https://api.spotify.com/v1/tracks/4BxfXnGbnlibcUUPKog7Ne,4BxfXnGbnlibcUUPKog7Ne,0.018,4.0,0.232,-8.225,0.0,Green Grass & High Tides - Remastered,Breaking Bad,53.0,https://p.scdn.co/mp3-preview/2a683167f7b6af76d93e3413f37557002fd555e9?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0412,99.092,4.0,https://api.spotify.com/v1/tracks/4BxfXnGbnlibcUUPKog7Ne,4BxfXnGbnlibcUUPKog7Ne,0.584,1996-06-17,The Outlaws,"['album rock', 'blues-rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']",1996.0
7krh6ZjG7i7jvLGiG3YNJF,0.967,0.282,1.0,192467.0,0.146,https://api.spotify.com/v1/tracks/7ctYp2gIPnE79lRzov5k2n,7ctYp2gIPnE79lRzov5k2n,3.86e-05,3.0,0.0941,-16.638,1.0,Heart Like A Wheel,Women of Folk,33.0,https://p.scdn.co/mp3-preview/f07ec63b1718178fc004ec9232d4596d2d4d0cef?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0334,147.789,4.0,https://api.spotify.com/v1/tracks/7ctYp2gIPnE79lRzov5k2n,7ctYp2gIPnE79lRzov5k2n,0.24,1975,Kate & Anna McGarrigle,"['folk', 'folk rock', 'traditional folk']",1975.0
4FtSnMlCVxCswABUmdhwpm,0.00576,0.676,1.0,493990.0,0.861,https://api.spotify.com/v1/tracks/3hI05NM8JnJvQLZMUnRvMa,3hI05NM8JnJvQLZMUnRvMa,0.00916,4.0,0.02,-8.991,0.0,"Why - 12"" Version",Disco Club,42.0,https://p.scdn.co/mp3-preview/b068ea350f591516d849bb59904f94088f28eac9?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0537,92.361,4.0,https://api.spotify.com/v1/tracks/3hI05NM8JnJvQLZMUnRvMa,3hI05NM8JnJvQLZMUnRvMa,0.706,1982-01-01,Carly Simon,"['adult standards', 'brill building pop', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock']",1982.0
320EPCSEezHt1rtbfwH6Ck,0.377,0.738,1.0,213707.0,0.43,https://api.spotify.com/v1/tracks/3mumafLiMRofRhyczBxuwE,3mumafLiMRofRhyczBxuwE,1.03e-05,7.0,0.0945,-9.749,1.0,Me & Magdalena,Classic Acoustic,54.0,https://p.scdn.co/mp3-preview/91ced6c191b3b9b6d9cf47032fe5d1c070d58151?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0295,114.992,4.0,https://api.spotify.com/v1/tracks/3mumafLiMRofRhyczBxuwE,3mumafLiMRofRhyczBxuwE,0.374,2016-05-20,The Monkees,"['brill building pop', 'bubblegum pop', 'christmas', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'rock-and-roll', 'soft rock', 'sunshine pop']",2016.0
4Qk0lWGeXydDvfrDufDQ9p,0.803,0.698,1.0,254000.0,0.643,https://api.spotify.com/v1/tracks/0hhzJEusz6r7f0eL1Uc8kw,0hhzJEusz6r7f0eL1Uc8kw,0.0799,2.0,0.704,-16.985,1.0,Here Comes The Sun,Classic Acoustic,57.0,https://p.scdn.co/mp3-preview/9d7117d59dcaabcd8df9a21771c8acb7d33f1995?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0649,128.22,4.0,https://api.spotify.com/v1/tracks/0hhzJEusz6r7f0eL1Uc8kw,0hhzJEusz6r7f0eL1Uc8kw,0.714,1990,Richie Havens,"['folk', 'folk rock', 'traditional folk']",1990.0
70ZTdbPEcEugBNay4MvxfL,0.144,0.553,1.0,226213.0,0.506,https://api.spotify.com/v1/tracks/0gZXockVcE7rEhSf4mcGLO,0gZXockVcE7rEhSf4mcGLO,3.78e-06,4.0,0.438,-13.271,0.0,Guitar Man,Classic Acoustic,61.0,https://p.scdn.co/mp3-preview/e81e6b6326c5d46d69dfd558adfc81491040ffd2?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.046,143.278,4.0,https://api.spotify.com/v1/tracks/0gZXockVcE7rEhSf4mcGLO,0gZXockVcE7rEhSf4mcGLO,0.51,1972,Bread,"['adult standards', 'bubblegum pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'soft rock']",1972.0
74ASZWbe4lXaubB36ztrGX,0.287,0.471,1.0,232867.0,0.328,https://api.spotify.com/v1/tracks/3JeSmJwvbQkIqcZ0LM46wm,3JeSmJwvbQkIqcZ0LM46wm,0.00218,7.0,0.0833,-13.049,1.0,Billy 1 - Remastered,Classic Acoustic,54.0,https://p.scdn.co/mp3-preview/0710077bc1cbd0cffbe94f816b86d1368ab40b9b?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0268,129.978,4.0,https://api.spotify.com/v1/tracks/3JeSmJwvbQkIqcZ0LM46wm,3JeSmJwvbQkIqcZ0LM46wm,0.537,1973-07-13,Bob Dylan,"['album rock', 'classic rock', 'folk', 'folk rock', 'folk-pop', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter']",1973.0
0J2Ej2rMQyqaUX3G6MUISw,0.338,0.608,1.0,326800.0,0.658,https://api.spotify.com/v1/tracks/5APylRvEGGAegrESwuG3A0,5APylRvEGGAegrESwuG3A0,0.0,10.0,0.216,-6.203,1.0,Biggest Part Of Me - Remastered Version,Soulful Morning,43.0,https://p.scdn.co/mp3-preview/5802a4da34bfeb0a9e9202abdee5010054a7aa2e?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0542,153.269,4.0,https://api.spotify.com/v1/tracks/5APylRvEGGAegrESwuG3A0,5APylRvEGGAegrESwuG3A0,0.899,2002-06-18,Ambrosia,"['adult standards', 'album rock', 'art rock', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']",2002.0
0543y7yrvny4KymoaneT4W,0.614,0.749,1.0,309760.0,0.246,https://api.spotify.com/v1/tracks/3bhgNgvkuYUpvT3Aa8nobd,3bhgNgvkuYUpvT3Aa8nobd,0.000138,0.0,0.0967,-12.847,1.0,"Baby, I Love Your Way",70s & 80s Acoustic,51.0,https://p.scdn.co/mp3-preview/c5acf7736dd943ac32cbd1f97d5fee2f11deafd7?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0383,132.153,4.0,https://api.spotify.com/v1/tracks/3bhgNgvkuYUpvT3Aa8nobd,3bhgNgvkuYUpvT3Aa8nobd,0.308,2016-02-26,Peter Frampton,"['album rock', 'art rock', 'blues-rock', 'british blues', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'roots rock', 'soft rock', 'southern rock', 'symphonic rock']",2016.0
