artists_name,name,genres,release_year,popularity
Eagles,Hotel California - Eagles 2013 Remaster,album rock,1976.0,83.0
AC/DC,Thunderstruck,album rock,1990.0,82.0
Electric Light Orchestra,Mr. Blue Sky,album rock,1977.0,82.0
Daryl Hall & John Oates,You Make My Dreams,album rock,1980.0,80.0
Billy Joel,Uptown Girl,album rock,1983.0,79.0
Aerosmith,I Don't Want to Miss a Thing,album rock,1998.0,78.0
America,A Horse with No Name,album rock,1972.0,78.0
Eagles,Take It Easy - 2013 Remaster,album rock,1972.0,76.0
Journey,Don't Stop Believin',album rock,2001.0,76.0
Men At Work,Down Under,album rock,1996.0,75.0
Daryl Hall & John Oates,Maneater,album rock,1982.0,75.0
The Doobie Brothers,Listen to the Music,album rock,1972.0,75.0
Aerosmith,"I Don't Want to Miss a Thing - From the Touchstone film, ""Armageddon""",album rock,1997.0,75.0
Eric Clapton,Tears In Heaven,album rock,1992.0,75.0
Bob Dylan,Knockin' On Heaven's Door - Remastered,album rock,1973.0,74.0
Billy Joel,Piano Man,album rock,2001.0,74.0
Chicago,If You Leave Me Now - Remastered,album rock,1976.0,74.0
Eagles,Life in the Fast Lane - Eagles 2013 Remaster,album rock,1976.0,73.0
The Animals,The House Of The Rising Sun,album rock,1987.0,73.0
The Doobie Brothers,Long Train Runnin',album rock,1973.0,73.0
Billy Joel,She's Always a Woman,album rock,1977.0,73.0
Chicago,You're the Inspiration - 2006 Remaster,album rock,1984.0,73.0
Mr. Big,To Be With You - 2010 Remastered Version,album rock,1991.0,73.0
REO Speedwagon,Can't Fight This Feeling,album rock,1984.0,73.0
Kenny Loggins,Footloose,album rock,2002.0,72.0
Billy Joel,We Didn't Start the Fire,album rock,1989.0,72.0
Tom Petty and the Heartbreakers,American Girl,album rock,1976.0,72.0
Kenny Loggins,Danger Zone,album rock,1997.0,72.0
Billy Joel,Piano Man,album rock,1973.0,71.0
Eric Clapton,Layla,album rock,1992.0,71.0
Neil Young,Harvest Moon,album rock,1992.0,71.0
Billy Joel,Uptown Girl,album rock,2001.0,71.0
Electric Light Orchestra,Livin' Thing,album rock,1976.0,71.0
Seals and Crofts,Summer Breeze,album rock,1972.0,71.0
Billy Joel,Piano Man,album rock,1973.0,71.0
REO Speedwagon,Keep on Loving You - Remastered,album rock,1980.0,71.0
The Cars,Drive,album rock,1984.0,71.0
Quiet Riot,Cum on Feel the Noize,album rock,1996.0,70.0
Iron Maiden,Fear of the Dark - 2015 Remaster,album rock,1992.0,70.0
America,Ventura Highway,album rock,1972.0,70.0
Christopher Cross,Arthur's Theme (Best That You Can Do),album rock,1981.0,70.0
Eagles,One of These Nights - Eagles 2013 Remaster,album rock,1975.0,70.0
Daryl Hall & John Oates,You Make My Dreams - Remastered,album rock,2001.0,70.0
The Romantics,What I Like About You,album rock,1990.0,69.0
Joe Walsh,Life's Been Good,album rock,1978.0,69.0
Jackson Browne,Running on Empty,album rock,1977.0,69.0
The Animals,The House of the Rising Sun,album rock,1992.0,69.0
The Doobie Brothers,What A Fool Believes,album rock,1978.0,69.0
The Cars,Just What I Needed,album rock,1978.0,69.0
Rick Springfield,Jessie's Girl,album rock,1999.0,69.0
